GISJOIN,YEAR,REGIONA,DIVISIONA,STATEA,COUNTYA,COUSUBA,PLACEA,TRACTA,CONCITA,AIANHHA,RES_ONLYA,TRUSTA,AITSCEA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SLDUA,SLDLA,ZCTA5A,SUBMCDA,SDELMA,SDSECA,SDUNIA,PUMA5A,BTTRA,NAME_E,AD4BE001,NAME_M,AD4BM001
"G00601","2011-2015",,,,,,,,,,,,,,,,,,,,,,,,"00601",,,,,,,"ZCTA5 00601",0.6062,"ZCTA5 00601",0.0230
"G00602","2011-2015",,,,,,,,,,,,,,,,,,,,,,,,"00602",,,,,,,"ZCTA5 00602",0.4876,"ZCTA5 00602",0.0156
"G00603","2011-2015",,,,,,,,,,,,,,,,,,,,,,,,"00603",,,,,,,"ZCTA5 00603",0.5410,"ZCTA5 00603",0.0182
"G00606","2011-2015",,,,,,,,,,,,,,,,,,,,,,,,"00606",,,,,,,"ZCTA5 00606",0.4934,"ZCTA5 00606",0.0337
"G00610","2011-2015",,,,,,,,,,,,,,,,,,,,,,,,"00610",,,,,,,"ZCTA5 00610",0.4522,"ZCTA5 00610",0.0216
"G00612","2011-2015",,,,,,,,,,,,,,,,,,,,,,,,"00612",,,,,,,"ZCTA5 00612",0.5359,"ZCTA5 00612",0.0174
"G00616","2011-2015",,,,,,,,,,,,,,,,,,,,,,,,"00616",,,,,,,"ZCTA5 00616",0.5380,"ZCTA5 00616",0.0389
"G00617","2011-2015",,,,,,,,,,,,,,,,,,,,,,,,"00617",,,,,,,"ZCTA5 00617",0.5055,"ZCTA5 00617",0.0254
"G00622","2011-2015",,,,,,,,,,,,,,,,,,,,,,,,"00622",,,,,,,"ZCTA5 00622",0.6144,"ZCTA5 00622",0.0849
"G00623","2011-2015",,,,,,,,,,,,,,,,,,,,,,,,"00623",,,,,,,"ZCTA5 00623",0.5223,"ZCTA5 00623",0.0185
"G00624","2011-2015",,,,,,,,,,,,,,,,,,,,,,,,"00624",,,,,,,"ZCTA5 00624",0.4885,"ZCTA5 00624",0.0209
"G00627","2011-2015",,,,,,,,,,,,,,,,,,,,,,,,"00627",,,,,,,"ZCTA5 00627",0.5046,"ZCTA5 00627",0.0314
"G00631","2011-2015",,,,,,,,,,,,,,,,,,,,,,,,"00631",,,,,,,"ZCTA5 00631",0.5759,"ZCTA5 00631",0.0660
"G00637","2011-2015",,,,,,,,,,,,,,,,,,,,,,,,"00637",,,,,,,"ZCTA5 00637",0.5044,"ZCTA5 00637",0.0233
"G00638","2011-2015",,,,,,,,,,,,,,,,,,,,,,,,"00638",,,,,,,"ZCTA5 00638",0.5057,"ZCTA5 00638",0.0245
"G00641","2011-2015",,,,,,,,,,,,,,,,,,,,,,,,"00641",,,,,,,"ZCTA5 00641",0.5056,"ZCTA5 00641",0.0188
"G00646","2011-2015",,,,,,,,,,,,,,,,,,,,,,,,"00646",,,,,,,"ZCTA5 00646",0.5431,"ZCTA5 00646",0.0232
"G00647","2011-2015",,,,,,,,,,,,,,,,,,,,,,,,"00647",,,,,,,"ZCTA5 00647",0.4457,"ZCTA5 00647",0.0343
"G00650","2011-2015",,,,,,,,,,,,,,,,,,,,,,,,"00650",,,,,,,"ZCTA5 00650",0.4633,"ZCTA5 00650",0.0300
"G00652","2011-2015",,,,,,,,,,,,,,,,,,,,,,,,"00652",,,,,,,"ZCTA5 00652",0.5200,"ZCTA5 00652",0.0444
"G00653","2011-2015",,,,,,,,,,,,,,,,,,,,,,,,"00653",,,,,,,"ZCTA5 00653",0.5522,"ZCTA5 00653",0.0548
"G00656","2011-2015",,,,,,,,,,,,,,,,,,,,,,,,"00656",,,,,,,"ZCTA5 00656",0.5000,"ZCTA5 00656",0.0213
"G00659","2011-2015",,,,,,,,,,,,,,,,,,,,,,,,"00659",,,,,,,"ZCTA5 00659",0.4874,"ZCTA5 00659",0.0166
"G00660","2011-2015",,,,,,,,,,,,,,,,,,,,,,,,"00660",,,,,,,"ZCTA5 00660",0.4589,"ZCTA5 00660",0.0381
"G00662","2011-2015",,,,,,,,,,,,,,,,,,,,,,,,"00662",,,,,,,"ZCTA5 00662",0.5161,"ZCTA5 00662",0.0280
"G00664","2011-2015",,,,,,,,,,,,,,,,,,,,,,,,"00664",,,,,,,"ZCTA5 00664",0.4624,"ZCTA5 00664",0.0264
"G00667","2011-2015",,,,,,,,,,,,,,,,,,,,,,,,"00667",,,,,,,"ZCTA5 00667",0.5189,"ZCTA5 00667",0.0253
"G00669","2011-2015",,,,,,,,,,,,,,,,,,,,,,,,"00669",,,,,,,"ZCTA5 00669",0.5644,"ZCTA5 00669",0.0357
"G00670","2011-2015",,,,,,,,,,,,,,,,,,,,,,,,"00670",,,,,,,"ZCTA5 00670",0.5129,"ZCTA5 00670",0.0338
"G00674","2011-2015",,,,,,,,,,,,,,,,,,,,,,,,"00674",,,,,,,"ZCTA5 00674",0.5173,"ZCTA5 00674",0.0177
"G00676","2011-2015",,,,,,,,,,,,,,,,,,,,,,,,"00676",,,,,,,"ZCTA5 00676",0.4926,"ZCTA5 00676",0.0185
"G00677","2011-2015",,,,,,,,,,,,,,,,,,,,,,,,"00677",,,,,,,"ZCTA5 00677",0.4836,"ZCTA5 00677",0.0332
"G00678","2011-2015",,,,,,,,,,,,,,,,,,,,,,,,"00678",,,,,,,"ZCTA5 00678",0.5278,"ZCTA5 00678",0.0427
"G00680","2011-2015",,,,,,,,,,,,,,,,,,,,,,,,"00680",,,,,,,"ZCTA5 00680",0.5619,"ZCTA5 00680",0.0343
"G00682","2011-2015",,,,,,,,,,,,,,,,,,,,,,,,"00682",,,,,,,"ZCTA5 00682",0.6384,"ZCTA5 00682",0.0351
"G00683","2011-2015",,,,,,,,,,,,,,,,,,,,,,,,"00683",,,,,,,"ZCTA5 00683",0.5360,"ZCTA5 00683",0.0249
"G00685","2011-2015",,,,,,,,,,,,,,,,,,,,,,,,"00685",,,,,,,"ZCTA5 00685",0.5083,"ZCTA5 00685",0.0198
"G00687","2011-2015",,,,,,,,,,,,,,,,,,,,,,,,"00687",,,,,,,"ZCTA5 00687",0.4892,"ZCTA5 00687",0.0224
"G00688","2011-2015",,,,,,,,,,,,,,,,,,,,,,,,"00688",,,,,,,"ZCTA5 00688",0.4984,"ZCTA5 00688",0.0247
"G00690","2011-2015",,,,,,,,,,,,,,,,,,,,,,,,"00690",,,,,,,"ZCTA5 00690",0.4797,"ZCTA5 00690",0.0457
"G00692","2011-2015",,,,,,,,,,,,,,,,,,,,,,,,"00692",,,,,,,"ZCTA5 00692",0.5464,"ZCTA5 00692",0.0402
"G00693","2011-2015",,,,,,,,,,,,,,,,,,,,,,,,"00693",,,,,,,"ZCTA5 00693",0.5327,"ZCTA5 00693",0.0178
"G00694","2011-2015",,,,,,,,,,,,,,,,,,,,,,,,"00694",,,,,,,"ZCTA5 00694",0.1513,"ZCTA5 00694",0.0934
"G00698","2011-2015",,,,,,,,,,,,,,,,,,,,,,,,"00698",,,,,,,"ZCTA5 00698",0.5423,"ZCTA5 00698",0.0225
"G00703","2011-2015",,,,,,,,,,,,,,,,,,,,,,,,"00703",,,,,,,"ZCTA5 00703",0.5653,"ZCTA5 00703",0.0716
"G00704","2011-2015",,,,,,,,,,,,,,,,,,,,,,,,"00704",,,,,,,"ZCTA5 00704",0.4932,"ZCTA5 00704",0.0364
"G00705","2011-2015",,,,,,,,,,,,,,,,,,,,,,,,"00705",,,,,,,"ZCTA5 00705",0.4607,"ZCTA5 00705",0.0171
"G00707","2011-2015",,,,,,,,,,,,,,,,,,,,,,,,"00707",,,,,,,"ZCTA5 00707",0.4648,"ZCTA5 00707",0.0668
"G00714","2011-2015",,,,,,,,,,,,,,,,,,,,,,,,"00714",,,,,,,"ZCTA5 00714",0.4821,"ZCTA5 00714",0.0481
"G00715","2011-2015",,,,,,,,,,,,,,,,,,,,,,,,"00715",,,,,,,"ZCTA5 00715",0.5098,"ZCTA5 00715",0.0657
"G00716","2011-2015",,,,,,,,,,,,,,,,,,,,,,,,"00716",,,,,,,"ZCTA5 00716",0.6154,"ZCTA5 00716",0.0289
"G00717","2011-2015",,,,,,,,,,,,,,,,,,,,,,,,"00717",,,,,,,"ZCTA5 00717",0.6034,"ZCTA5 00717",0.0377
"G00718","2011-2015",,,,,,,,,,,,,,,,,,,,,,,,"00718",,,,,,,"ZCTA5 00718",0.5166,"ZCTA5 00718",0.0854
"G00719","2011-2015",,,,,,,,,,,,,,,,,,,,,,,,"00719",,,,,,,"ZCTA5 00719",0.5179,"ZCTA5 00719",0.0508
"G00720","2011-2015",,,,,,,,,,,,,,,,,,,,,,,,"00720",,,,,,,"ZCTA5 00720",0.4876,"ZCTA5 00720",0.0229
"G00723","2011-2015",,,,,,,,,,,,,,,,,,,,,,,,"00723",,,,,,,"ZCTA5 00723",0.5238,"ZCTA5 00723",0.0294
"G00725","2011-2015",,,,,,,,,,,,,,,,,,,,,,,,"00725",,,,,,,"ZCTA5 00725",0.5171,"ZCTA5 00725",0.0130
"G00727","2011-2015",,,,,,,,,,,,,,,,,,,,,,,,"00727",,,,,,,"ZCTA5 00727",0.4962,"ZCTA5 00727",0.0177
"G00728","2011-2015",,,,,,,,,,,,,,,,,,,,,,,,"00728",,,,,,,"ZCTA5 00728",0.4964,"ZCTA5 00728",0.0149
"G00729","2011-2015",,,,,,,,,,,,,,,,,,,,,,,,"00729",,,,,,,"ZCTA5 00729",0.5061,"ZCTA5 00729",0.0223
"G00730","2011-2015",,,,,,,,,,,,,,,,,,,,,,,,"00730",,,,,,,"ZCTA5 00730",0.5996,"ZCTA5 00730",0.0333
"G00731","2011-2015",,,,,,,,,,,,,,,,,,,,,,,,"00731",,,,,,,"ZCTA5 00731",0.5789,"ZCTA5 00731",0.0683
"G00735","2011-2015",,,,,,,,,,,,,,,,,,,,,,,,"00735",,,,,,,"ZCTA5 00735",0.4623,"ZCTA5 00735",0.0670
"G00736","2011-2015",,,,,,,,,,,,,,,,,,,,,,,,"00736",,,,,,,"ZCTA5 00736",0.5268,"ZCTA5 00736",0.0410
"G00738","2011-2015",,,,,,,,,,,,,,,,,,,,,,,,"00738",,,,,,,"ZCTA5 00738",0.4798,"ZCTA5 00738",0.0265
"G00739","2011-2015",,,,,,,,,,,,,,,,,,,,,,,,"00739",,,,,,,"ZCTA5 00739",0.4898,"ZCTA5 00739",0.0148
"G00740","2011-2015",,,,,,,,,,,,,,,,,,,,,,,,"00740",,,,,,,"ZCTA5 00740",0.5134,"ZCTA5 00740",0.0829
"G00741","2011-2015",,,,,,,,,,,,,,,,,,,,,,,,"00741",,,,,,,"ZCTA5 00741",0.3991,"ZCTA5 00741",0.0591
"G00745","2011-2015",,,,,,,,,,,,,,,,,,,,,,,,"00745",,,,,,,"ZCTA5 00745",0.4541,"ZCTA5 00745",0.0194
"G00751","2011-2015",,,,,,,,,,,,,,,,,,,,,,,,"00751",,,,,,,"ZCTA5 00751",0.5000,"ZCTA5 00751",0.0197
"G00754","2011-2015",,,,,,,,,,,,,,,,,,,,,,,,"00754",,,,,,,"ZCTA5 00754",0.5352,"ZCTA5 00754",0.0416
"G00757","2011-2015",,,,,,,,,,,,,,,,,,,,,,,,"00757",,,,,,,"ZCTA5 00757",0.5395,"ZCTA5 00757",0.0227
"G00765","2011-2015",,,,,,,,,,,,,,,,,,,,,,,,"00765",,,,,,,"ZCTA5 00765",0.4096,"ZCTA5 00765",0.0439
"G00766","2011-2015",,,,,,,,,,,,,,,,,,,,,,,,"00766",,,,,,,"ZCTA5 00766",0.4795,"ZCTA5 00766",0.0220
"G00767","2011-2015",,,,,,,,,,,,,,,,,,,,,,,,"00767",,,,,,,"ZCTA5 00767",0.4907,"ZCTA5 00767",0.0192
"G00769","2011-2015",,,,,,,,,,,,,,,,,,,,,,,,"00769",,,,,,,"ZCTA5 00769",0.5026,"ZCTA5 00769",0.0256
"G00771","2011-2015",,,,,,,,,,,,,,,,,,,,,,,,"00771",,,,,,,"ZCTA5 00771",0.5248,"ZCTA5 00771",0.0242
"G00772","2011-2015",,,,,,,,,,,,,,,,,,,,,,,,"00772",,,,,,,"ZCTA5 00772",0.4963,"ZCTA5 00772",0.0185
"G00773","2011-2015",,,,,,,,,,,,,,,,,,,,,,,,"00773",,,,,,,"ZCTA5 00773",0.5084,"ZCTA5 00773",0.0247
"G00775","2011-2015",,,,,,,,,,,,,,,,,,,,,,,,"00775",,,,,,,"ZCTA5 00775",0.4331,"ZCTA5 00775",0.0440
"G00777","2011-2015",,,,,,,,,,,,,,,,,,,,,,,,"00777",,,,,,,"ZCTA5 00777",0.4796,"ZCTA5 00777",0.0208
"G00778","2011-2015",,,,,,,,,,,,,,,,,,,,,,,,"00778",,,,,,,"ZCTA5 00778",0.5116,"ZCTA5 00778",0.0276
"G00780","2011-2015",,,,,,,,,,,,,,,,,,,,,,,,"00780",,,,,,,"ZCTA5 00780",0.5928,"ZCTA5 00780",0.0461
"G00782","2011-2015",,,,,,,,,,,,,,,,,,,,,,,,"00782",,,,,,,"ZCTA5 00782",0.5574,"ZCTA5 00782",0.0319
"G00783","2011-2015",,,,,,,,,,,,,,,,,,,,,,,,"00783",,,,,,,"ZCTA5 00783",0.5178,"ZCTA5 00783",0.0262
"G00784","2011-2015",,,,,,,,,,,,,,,,,,,,,,,,"00784",,,,,,,"ZCTA5 00784",0.5028,"ZCTA5 00784",0.0208
"G00786","2011-2015",,,,,,,,,,,,,,,,,,,,,,,,"00786",,,,,,,"ZCTA5 00786",0.2443,"ZCTA5 00786",0.0905
"G00791","2011-2015",,,,,,,,,,,,,,,,,,,,,,,,"00791",,,,,,,"ZCTA5 00791",0.5111,"ZCTA5 00791",0.0247
"G00794","2011-2015",,,,,,,,,,,,,,,,,,,,,,,,"00794",,,,,,,"ZCTA5 00794",0.5455,"ZCTA5 00794",0.0354
"G00795","2011-2015",,,,,,,,,,,,,,,,,,,,,,,,"00795",,,,,,,"ZCTA5 00795",0.4805,"ZCTA5 00795",0.0131
"G00901","2011-2015",,,,,,,,,,,,,,,,,,,,,,,,"00901",,,,,,,"ZCTA5 00901",0.7262,"ZCTA5 00901",0.0334
"G00906","2011-2015",,,,,,,,,,,,,,,,,,,,,,,,"00906",,,,,,,"ZCTA5 00906",0.4357,"ZCTA5 00906",0.1394
"G00907","2011-2015",,,,,,,,,,,,,,,,,,,,,,,,"00907",,,,,,,"ZCTA5 00907",0.6385,"ZCTA5 00907",0.0369
"G00909","2011-2015",,,,,,,,,,,,,,,,,,,,,,,,"00909",,,,,,,"ZCTA5 00909",0.5637,"ZCTA5 00909",0.0341
"G00911","2011-2015",,,,,,,,,,,,,,,,,,,,,,,,"00911",,,,,,,"ZCTA5 00911",0.5705,"ZCTA5 00911",0.0398
"G00912","2011-2015",,,,,,,,,,,,,,,,,,,,,,,,"00912",,,,,,,"ZCTA5 00912",0.5444,"ZCTA5 00912",0.0411
"G00913","2011-2015",,,,,,,,,,,,,,,,,,,,,,,,"00913",,,,,,,"ZCTA5 00913",0.7210,"ZCTA5 00913",0.0484
"G00915","2011-2015",,,,,,,,,,,,,,,,,,,,,,,,"00915",,,,,,,"ZCTA5 00915",0.5323,"ZCTA5 00915",0.0194
"G00917","2011-2015",,,,,,,,,,,,,,,,,,,,,,,,"00917",,,,,,,"ZCTA5 00917",0.5829,"ZCTA5 00917",0.0227
"G00918","2011-2015",,,,,,,,,,,,,,,,,,,,,,,,"00918",,,,,,,"ZCTA5 00918",0.6099,"ZCTA5 00918",0.0374
"G00920","2011-2015",,,,,,,,,,,,,,,,,,,,,,,,"00920",,,,,,,"ZCTA5 00920",0.4862,"ZCTA5 00920",0.0267
"G00921","2011-2015",,,,,,,,,,,,,,,,,,,,,,,,"00921",,,,,,,"ZCTA5 00921",0.5572,"ZCTA5 00921",0.0245
"G00923","2011-2015",,,,,,,,,,,,,,,,,,,,,,,,"00923",,,,,,,"ZCTA5 00923",0.5681,"ZCTA5 00923",0.0220
"G00924","2011-2015",,,,,,,,,,,,,,,,,,,,,,,,"00924",,,,,,,"ZCTA5 00924",0.5656,"ZCTA5 00924",0.0210
"G00925","2011-2015",,,,,,,,,,,,,,,,,,,,,,,,"00925",,,,,,,"ZCTA5 00925",0.6599,"ZCTA5 00925",0.0804
"G00926","2011-2015",,,,,,,,,,,,,,,,,,,,,,,,"00926",,,,,,,"ZCTA5 00926",0.5596,"ZCTA5 00926",0.0171
"G00927","2011-2015",,,,,,,,,,,,,,,,,,,,,,,,"00927",,,,,,,"ZCTA5 00927",0.6015,"ZCTA5 00927",0.0349
"G00934","2011-2015",,,,,,,,,,,,,,,,,,,,,,,,"00934",,,,,,,"ZCTA5 00934",0.1540,"ZCTA5 00934",0.0943
"G00936","2011-2015",,,,,,,,,,,,,,,,,,,,,,,,"00936",,,,,,,"ZCTA5 00936",,"ZCTA5 00936",
"G00949","2011-2015",,,,,,,,,,,,,,,,,,,,,,,,"00949",,,,,,,"ZCTA5 00949",0.4698,"ZCTA5 00949",0.0128
"G00950","2011-2015",,,,,,,,,,,,,,,,,,,,,,,,"00950",,,,,,,"ZCTA5 00950",,"ZCTA5 00950",
"G00951","2011-2015",,,,,,,,,,,,,,,,,,,,,,,,"00951",,,,,,,"ZCTA5 00951",0.0501,"ZCTA5 00951",0.0423
"G00952","2011-2015",,,,,,,,,,,,,,,,,,,,,,,,"00952",,,,,,,"ZCTA5 00952",0.4701,"ZCTA5 00952",0.0320
"G00953","2011-2015",,,,,,,,,,,,,,,,,,,,,,,,"00953",,,,,,,"ZCTA5 00953",0.4860,"ZCTA5 00953",0.0185
"G00956","2011-2015",,,,,,,,,,,,,,,,,,,,,,,,"00956",,,,,,,"ZCTA5 00956",0.4575,"ZCTA5 00956",0.0127
"G00957","2011-2015",,,,,,,,,,,,,,,,,,,,,,,,"00957",,,,,,,"ZCTA5 00957",0.4765,"ZCTA5 00957",0.0129
"G00959","2011-2015",,,,,,,,,,,,,,,,,,,,,,,,"00959",,,,,,,"ZCTA5 00959",0.4836,"ZCTA5 00959",0.0243
"G00960","2011-2015",,,,,,,,,,,,,,,,,,,,,,,,"00960",,,,,,,"ZCTA5 00960",,"ZCTA5 00960",
"G00961","2011-2015",,,,,,,,,,,,,,,,,,,,,,,,"00961",,,,,,,"ZCTA5 00961",0.5079,"ZCTA5 00961",0.0231
"G00962","2011-2015",,,,,,,,,,,,,,,,,,,,,,,,"00962",,,,,,,"ZCTA5 00962",0.5579,"ZCTA5 00962",0.0256
"G00965","2011-2015",,,,,,,,,,,,,,,,,,,,,,,,"00965",,,,,,,"ZCTA5 00965",0.5107,"ZCTA5 00965",0.0951
"G00966","2011-2015",,,,,,,,,,,,,,,,,,,,,,,,"00966",,,,,,,"ZCTA5 00966",0.5746,"ZCTA5 00966",0.0321
"G00968","2011-2015",,,,,,,,,,,,,,,,,,,,,,,,"00968",,,,,,,"ZCTA5 00968",0.5167,"ZCTA5 00968",0.0328
"G00969","2011-2015",,,,,,,,,,,,,,,,,,,,,,,,"00969",,,,,,,"ZCTA5 00969",0.4883,"ZCTA5 00969",0.0203
"G00971","2011-2015",,,,,,,,,,,,,,,,,,,,,,,,"00971",,,,,,,"ZCTA5 00971",0.5351,"ZCTA5 00971",0.0324
"G00976","2011-2015",,,,,,,,,,,,,,,,,,,,,,,,"00976",,,,,,,"ZCTA5 00976",0.5143,"ZCTA5 00976",0.0225
"G00979","2011-2015",,,,,,,,,,,,,,,,,,,,,,,,"00979",,,,,,,"ZCTA5 00979",0.4977,"ZCTA5 00979",0.0318
"G00982","2011-2015",,,,,,,,,,,,,,,,,,,,,,,,"00982",,,,,,,"ZCTA5 00982",0.4711,"ZCTA5 00982",0.0284
"G00983","2011-2015",,,,,,,,,,,,,,,,,,,,,,,,"00983",,,,,,,"ZCTA5 00983",0.4785,"ZCTA5 00983",0.0356
"G00985","2011-2015",,,,,,,,,,,,,,,,,,,,,,,,"00985",,,,,,,"ZCTA5 00985",0.4701,"ZCTA5 00985",0.0233
"G00987","2011-2015",,,,,,,,,,,,,,,,,,,,,,,,"00987",,,,,,,"ZCTA5 00987",0.4535,"ZCTA5 00987",0.0194
"G01001","2011-2015",,,,,,,,,,,,,,,,,,,,,,,,"01001",,,,,,,"ZCTA5 01001",0.3966,"ZCTA5 01001",0.0222
"G01002","2011-2015",,,,,,,,,,,,,,,,,,,,,,,,"01002",,,,,,,"ZCTA5 01002",0.5285,"ZCTA5 01002",0.0231
"G01003","2011-2015",,,,,,,,,,,,,,,,,,,,,,,,"01003",,,,,,,"ZCTA5 01003",0.4687,"ZCTA5 01003",0.3148
"G01005","2011-2015",,,,,,,,,,,,,,,,,,,,,,,,"01005",,,,,,,"ZCTA5 01005",0.4101,"ZCTA5 01005",0.0601
"G01007","2011-2015",,,,,,,,,,,,,,,,,,,,,,,,"01007",,,,,,,"ZCTA5 01007",0.4144,"ZCTA5 01007",0.0246
"G01008","2011-2015",,,,,,,,,,,,,,,,,,,,,,,,"01008",,,,,,,"ZCTA5 01008",0.2999,"ZCTA5 01008",0.0273
"G01009","2011-2015",,,,,,,,,,,,,,,,,,,,,,,,"01009",,,,,,,"ZCTA5 01009",0.3033,"ZCTA5 01009",0.0991
"G01010","2011-2015",,,,,,,,,,,,,,,,,,,,,,,,"01010",,,,,,,"ZCTA5 01010",0.3928,"ZCTA5 01010",0.0340
"G01011","2011-2015",,,,,,,,,,,,,,,,,,,,,,,,"01011",,,,,,,"ZCTA5 01011",0.3734,"ZCTA5 01011",0.0369
"G01012","2011-2015",,,,,,,,,,,,,,,,,,,,,,,,"01012",,,,,,,"ZCTA5 01012",0.4298,"ZCTA5 01012",0.0507
"G01013","2011-2015",,,,,,,,,,,,,,,,,,,,,,,,"01013",,,,,,,"ZCTA5 01013",0.4117,"ZCTA5 01013",0.0194
"G01020","2011-2015",,,,,,,,,,,,,,,,,,,,,,,,"01020",,,,,,,"ZCTA5 01020",0.4132,"ZCTA5 01020",0.0289
"G01022","2011-2015",,,,,,,,,,,,,,,,,,,,,,,,"01022",,,,,,,"ZCTA5 01022",0.3401,"ZCTA5 01022",0.0373
"G01026","2011-2015",,,,,,,,,,,,,,,,,,,,,,,,"01026",,,,,,,"ZCTA5 01026",0.3838,"ZCTA5 01026",0.0316
"G01027","2011-2015",,,,,,,,,,,,,,,,,,,,,,,,"01027",,,,,,,"ZCTA5 01027",0.4309,"ZCTA5 01027",0.0409
"G01028","2011-2015",,,,,,,,,,,,,,,,,,,,,,,,"01028",,,,,,,"ZCTA5 01028",0.4196,"ZCTA5 01028",0.0194
"G01029","2011-2015",,,,,,,,,,,,,,,,,,,,,,,,"01029",,,,,,,"ZCTA5 01029",0.4551,"ZCTA5 01029",0.0604
"G01030","2011-2015",,,,,,,,,,,,,,,,,,,,,,,,"01030",,,,,,,"ZCTA5 01030",0.4067,"ZCTA5 01030",0.0193
"G01031","2011-2015",,,,,,,,,,,,,,,,,,,,,,,,"01031",,,,,,,"ZCTA5 01031",0.4995,"ZCTA5 01031",0.0539
"G01032","2011-2015",,,,,,,,,,,,,,,,,,,,,,,,"01032",,,,,,,"ZCTA5 01032",0.3809,"ZCTA5 01032",0.0640
"G01033","2011-2015",,,,,,,,,,,,,,,,,,,,,,,,"01033",,,,,,,"ZCTA5 01033",0.3833,"ZCTA5 01033",0.0737
"G01034","2011-2015",,,,,,,,,,,,,,,,,,,,,,,,"01034",,,,,,,"ZCTA5 01034",0.3467,"ZCTA5 01034",0.0330
"G01035","2011-2015",,,,,,,,,,,,,,,,,,,,,,,,"01035",,,,,,,"ZCTA5 01035",0.4387,"ZCTA5 01035",0.0669
"G01036","2011-2015",,,,,,,,,,,,,,,,,,,,,,,,"01036",,,,,,,"ZCTA5 01036",0.4183,"ZCTA5 01036",0.0377
"G01037","2011-2015",,,,,,,,,,,,,,,,,,,,,,,,"01037",,,,,,,"ZCTA5 01037",0.3242,"ZCTA5 01037",0.0811
"G01038","2011-2015",,,,,,,,,,,,,,,,,,,,,,,,"01038",,,,,,,"ZCTA5 01038",0.3886,"ZCTA5 01038",0.0427
"G01039","2011-2015",,,,,,,,,,,,,,,,,,,,,,,,"01039",,,,,,,"ZCTA5 01039",0.4689,"ZCTA5 01039",0.0474
"G01040","2011-2015",,,,,,,,,,,,,,,,,,,,,,,,"01040",,,,,,,"ZCTA5 01040",0.5031,"ZCTA5 01040",0.0173
"G01050","2011-2015",,,,,,,,,,,,,,,,,,,,,,,,"01050",,,,,,,"ZCTA5 01050",0.3638,"ZCTA5 01050",0.0391
"G01053","2011-2015",,,,,,,,,,,,,,,,,,,,,,,,"01053",,,,,,,"ZCTA5 01053",0.4414,"ZCTA5 01053",0.0755
"G01054","2011-2015",,,,,,,,,,,,,,,,,,,,,,,,"01054",,,,,,,"ZCTA5 01054",0.4219,"ZCTA5 01054",0.0346
"G01056","2011-2015",,,,,,,,,,,,,,,,,,,,,,,,"01056",,,,,,,"ZCTA5 01056",0.4181,"ZCTA5 01056",0.0356
"G01057","2011-2015",,,,,,,,,,,,,,,,,,,,,,,,"01057",,,,,,,"ZCTA5 01057",0.3897,"ZCTA5 01057",0.0314
"G01060","2011-2015",,,,,,,,,,,,,,,,,,,,,,,,"01060",,,,,,,"ZCTA5 01060",0.5240,"ZCTA5 01060",0.0385
"G01062","2011-2015",,,,,,,,,,,,,,,,,,,,,,,,"01062",,,,,,,"ZCTA5 01062",0.4888,"ZCTA5 01062",0.0538
"G01063","2011-2015",,,,,,,,,,,,,,,,,,,,,,,,"01063",,,,,,,"ZCTA5 01063",,"ZCTA5 01063",
"G01066","2011-2015",,,,,,,,,,,,,,,,,,,,,,,,"01066",,,,,,,"ZCTA5 01066",,"ZCTA5 01066",
"G01068","2011-2015",,,,,,,,,,,,,,,,,,,,,,,,"01068",,,,,,,"ZCTA5 01068",0.3428,"ZCTA5 01068",0.0329
"G01069","2011-2015",,,,,,,,,,,,,,,,,,,,,,,,"01069",,,,,,,"ZCTA5 01069",0.4160,"ZCTA5 01069",0.0283
"G01070","2011-2015",,,,,,,,,,,,,,,,,,,,,,,,"01070",,,,,,,"ZCTA5 01070",0.3989,"ZCTA5 01070",0.0338
"G01071","2011-2015",,,,,,,,,,,,,,,,,,,,,,,,"01071",,,,,,,"ZCTA5 01071",0.3503,"ZCTA5 01071",0.0397
"G01072","2011-2015",,,,,,,,,,,,,,,,,,,,,,,,"01072",,,,,,,"ZCTA5 01072",0.4035,"ZCTA5 01072",0.0386
"G01073","2011-2015",,,,,,,,,,,,,,,,,,,,,,,,"01073",,,,,,,"ZCTA5 01073",0.3895,"ZCTA5 01073",0.0362
"G01074","2011-2015",,,,,,,,,,,,,,,,,,,,,,,,"01074",,,,,,,"ZCTA5 01074",0.1339,"ZCTA5 01074",0.0770
"G01075","2011-2015",,,,,,,,,,,,,,,,,,,,,,,,"01075",,,,,,,"ZCTA5 01075",0.4321,"ZCTA5 01075",0.0199
"G01077","2011-2015",,,,,,,,,,,,,,,,,,,,,,,,"01077",,,,,,,"ZCTA5 01077",0.4069,"ZCTA5 01077",0.0357
"G01079","2011-2015",,,,,,,,,,,,,,,,,,,,,,,,"01079",,,,,,,"ZCTA5 01079",0.3816,"ZCTA5 01079",0.0795
"G01080","2011-2015",,,,,,,,,,,,,,,,,,,,,,,,"01080",,,,,,,"ZCTA5 01080",0.4356,"ZCTA5 01080",0.0723
"G01081","2011-2015",,,,,,,,,,,,,,,,,,,,,,,,"01081",,,,,,,"ZCTA5 01081",0.3878,"ZCTA5 01081",0.0394
"G01082","2011-2015",,,,,,,,,,,,,,,,,,,,,,,,"01082",,,,,,,"ZCTA5 01082",0.4326,"ZCTA5 01082",0.0251
